temperature,humidity,rainfall,wind_speed,soil_ph,nitrogen,organic_carbon,clay,sand,silt,cec,season,label
27.07,66.93,152.3,8.1,6.64,68.85,25.0,28.12,44.54,27.34,18.9,Whole Year,Papaya
28.43,58.02,110.16,10.39,6.75,74.25,18.43,33.25,41.29,25.46,20.95,Kharif,Maize
27.37,56.29,170.28,8.32,7.09,52.73,17.72,36.33,32.11,31.56,30.12,Kharif,Cotton
29.72,59.06,142.05,9.41,7.02,62.79,15.81,37.37,32.06,30.57,33.56,Kharif,Cotton
30.01,53.18,89.22,5.8,6.71,65.74,25.0,31.59,45.87,22.54,19.97,Whole Year,Mango
22.27,64.66,87.39,9.98,6.83,75.29,21.04,28.64,46.37,24.99,19.83,Whole Year,Orange
30.04,73.46,149.19,7.49,6.79,87.96,22.22,31.1,43.85,25.05,18.69,Whole Year,Papaya
28.91,75.3,178.89,5.64,7.08,75.03,19.96,25.49,36.72,37.79,23.97,Whole Year,Banana
29.17,48.89,69.24,11.67,6.52,74.71,13.21,20.1,57.89,22.01,9.83,Whole Year,Karbuja(Musk Melon)
27.28,57.08,119.27,8.56,7.0,60.06,17.58,33.72,39.48,26.8,24.32,Kharif,Maize
29.11,65.99,91.69,11.76,6.85,61.51,25.0,29.96,43.51,26.53,26.92,Whole Year,Pomegranate
26.35,52.62,113.07,9.45,6.52,68.17,22.42,32.63,43.59,23.78,18.56,Whole Year,Mango
27.17,79.87,178.6,8.31,6.36,89.94,25.0,30.89,31.99,37.12,23.03,Whole Year,Banana
26.79,66.81,77.27,10.16,6.81,33.73,13.25,31.75,40.29,27.96,18.28,Kharif,Black Gram Dal(Urd Dal)
22.79,61.9,117.63,6.87,6.96,69.81,18.01,28.15,45.85,26.0,19.08,Whole Year,Orange
27.65,65.98,135.9,13.58,6.57,82.39,16.67,38.3,39.92,21.78,23.78,Kharif,Maize
28.39,69.83,123.35,7.94,6.71,91.53,15.81,29.28,42.68,28.04,14.85,Whole Year,Papaya
24.49,53.69,73.19,9.51,6.7,61.73,18.07,20.52,55.29,24.19,16.72,Whole Year,Grapes
23.26,54.63,51.34,9.79,6.77,57.74,16.39,22.27,52.21,25.52,19.2,Whole Year,Grapes
24.88,61.42,140.68,7.25,7.44,68.65,19.81,36.96,38.3,24.74,19.48,Kharif,Maize
30.75,62.6,64.35,6.52,6.57,41.66,12.72,30.08,43.92,26.0,19.55,Kharif,Black Gram Dal(Urd Dal)
30.16,66.32,74.31,8.26,6.81,34.7,12.95,28.5,43.0,28.5,15.61,Kharif,Black Gram Dal(Urd Dal)
26.88,78.99,154.02,8.44,6.61,98.71,23.3,25.78,35.84,38.38,20.83,Kharif,Rice
29.24,59.26,100.6,9.38,6.51,74.43,12.53,28.66,44.56,26.78,18.19,Whole Year,Mango
25.59,57.44,77.13,11.96,6.83,49.06,18.04,23.99,47.61,28.4,18.16,Whole Year,Grapes
19.27,54.72,80.41,9.27,6.29,39.79,13.41,26.19,45.35,28.46,18.1,Rabi,Beans
25.29,52.92,78.67,10.02,6.83,63.48,17.2,29.49,48.17,22.34,14.76,Whole Year,Grapes
23.56,64.33,86.62,5.8,6.32,37.08,19.76,24.99,42.33,32.68,20.91,Rabi,Beans
30.82,52.85,94.45,9.77,7.26,73.05,25.0,30.7,41.34,27.96,25.83,Whole Year,Pomegranate
23.65,51.1,95.15,5.75,6.2,35.87,14.01,25.23,48.57,26.2,16.7,Rabi,Beans
24.2,51.98,82.02,9.34,7.09,52.65,15.37,23.78,51.93,24.29,15.58,Whole Year,Grapes
27.58,47.44,80.53,12.96,6.94,76.38,25.0,35.54,39.08,25.38,23.16,Whole Year,Pomegranate
27.43,69.97,124.71,10.09,6.66,59.38,13.8,28.59,46.05,25.36,15.16,Whole Year,Orange
30.18,63.42,137.3,7.71,7.13,74.32,14.73,37.38,29.27,33.35,33.72,Kharif,Cotton
22.49,64.6,110.62,10.06,6.52,62.48,21.01,29.83,42.91,27.26,16.47,Whole Year,Orange
29.01,65.08,83.12,7.23,6.83,34.7,14.71,27.48,44.93,27.59,18.85,Kharif,Black Gram Dal(Urd Dal)
25.1,65.87,89.39,8.05,6.84,66.19,15.92,27.49,46.19,26.32,13.81,Whole Year,Orange
30.41,43.92,62.26,11.73,6.39,74.81,13.95,18.5,60.1,21.4,9.02,Whole Year,Water Melon
27.95,57.35,78.42,10.12,7.32,69.46,25.0,30.14,41.39,28.47,21.75,Whole Year,Pomegranate
29.71,71.78,151.77,7.67,6.8,79.89,25.0,28.37,42.1,29.53,21.86,Whole Year,Papaya
25.96,47.15,81.89,10.43,6.86,71.05,18.76,28.37,43.57,28.06,18.98,Whole Year,Mango
25.21,60.13,135.43,8.89,6.98,73.8,17.72,31.91,39.7,28.39,23.98,Kharif,Maize
22.35,59.79,99.01,10.23,6.37,44.61,15.62,26.09,44.01,29.9,16.56,Rabi,Beans
30.09,71.62,158.78,8.49,6.61,71.76,25.0,26.55,45.6,27.85,16.64,Whole Year,Papaya
26.06,51.3,52.09,9.46,6.94,56.84,16.86,28.28,52.64,19.08,15.02,Whole Year,Grapes
22.19,58.71,88.46,9.33,6.2,41.06,15.34,30.11,45.39,24.5,17.93,Rabi,Beans
25.1,75.19,161.55,9.72,6.66,83.41,19.54,30.26,34.53,35.21,27.22,Whole Year,Banana
27.41,57.74,102.96,9.28,6.99,65.52,25.0,31.33,39.9,28.77,19.67,Whole Year,Pomegranate
28.48,76.53,172.52,8.01,6.68,78.63,21.0,30.96,36.83,32.21,23.75,Whole Year,Banana
24.98,65.5,91.7,9.11,6.64,61.04,16.58,28.11,41.17,30.72,17.61,Whole Year,Orange
26.46,50.93,52.68,9.4,6.68,50.55,16.28,25.81,49.07,25.12,14.07,Whole Year,Grapes
27.59,82.2,168.4,11.01,6.71,87.51,20.85,30.17,33.62,36.21,21.08,Whole Year,Banana
25.55,70.42,67.12,9.79,6.85,35.43,10.91,30.83,40.94,28.23,16.67,Kharif,Black Gram Dal(Urd Dal)
24.46,60.41,90.51,8.6,6.8,68.95,21.71,29.68,44.81,25.51,17.84,Whole Year,Orange
29.39,62.82,140.82,10.8,6.89,58.36,11.25,38.18,34.27,27.55,36.42,Kharif,Cotton
26.85,63.07,130.34,9.5,6.59,70.42,10.99,36.41,36.83,26.76,19.75,Kharif,Maize
28.8,68.25,138.38,8.06,7.12,75.75,21.12,25.2,48.03,26.77,17.85,Whole Year,Papaya
27.02,84.76,152.82,9.39,6.28,74.09,21.58,28.45,35.79,35.76,28.06,Kharif,Rice
24.79,59.22,96.68,13.39,6.63,73.44,16.66,29.52,44.29,26.19,15.91,Whole Year,Orange
22.09,64.85,81.91,9.43,6.61,56.01,15.0,24.16,46.92,28.92,21.31,Whole Year,Orange
28.15,79.89,184.98,6.5,7.0,98.61,25.0,31.57,37.33,31.1,20.6,Whole Year,Banana
27.7,80.36,195.53,8.73,6.89,85.49,23.48,23.41,38.76,37.83,23.46,Kharif,Rice
26.85,76.29,168.4,11.45,6.68,81.47,25.0,26.52,38.96,34.52,21.65,Whole Year,Banana
29.8,53.96,98.46,6.54,6.5,78.49,22.45,33.06,42.25,24.69,21.92,Whole Year,Mango
28.11,79.84,171.71,10.96,6.47,81.5,17.55,25.68,36.65,37.67,23.38,Kharif,Rice
29.98,70.73,143.68,4.73,7.08,76.94,15.01,26.0,45.95,28.05,17.53,Whole Year,Papaya
29.91,59.26,118.36,7.0,6.96,46.81,12.42,39.15,30.39,30.46,35.12,Kharif,Cotton
28.49,57.06,152.23,6.72,6.77,67.04,12.03,37.0,27.98,35.02,33.66,Kharif,Cotton
25.89,64.46,85.57,8.61,6.87,40.92,8.5,31.41,40.43,28.16,17.52,Kharif,Black Gram Dal(Urd Dal)
29.27,62.34,101.48,7.59,6.96,73.22,11.3,34.16,39.46,26.38,15.88,Kharif,Maize
28.35,79.55,186.03,5.95,6.76,89.41,25.0,27.82,36.77,35.41,24.89,Whole Year,Banana
19.29,61.72,133.07,10.37,6.74,72.74,18.42,27.21,45.33,27.46,16.37,Whole Year,Orange
29.87,55.5,68.91,9.89,6.98,76.86,25.0,35.92,38.74,25.34,22.82,Whole Year,Pomegranate
24.08,57.11,94.02,8.24,6.44,38.14,15.11,28.06,45.59,26.35,19.98,Rabi,Beans
27.71,81.51,141.98,9.01,6.67,83.5,24.82,32.09,45.31,22.6,19.94,Whole Year,Papaya
30.19,55.45,47.75,8.11,6.89,81.78,6.76,19.03,62.77,18.2,16.34,Whole Year,Karbuja(Musk Melon)
35.5,51.87,48.18,11.33,6.98,86.04,15.88,18.87,63.24,17.89,10.76,Whole Year,Water Melon
30.8,45.04,58.84,12.87,6.52,73.51,11.78,18.36,62.63,19.01,14.71,Whole Year,Karbuja(Musk Melon)
29.31,70.28,186.36,11.76,6.67,91.29,20.38,29.29,32.49,38.22,22.66,Kharif,Rice
28.44,63.25,166.47,14.89,7.36,55.55,17.87,38.13,31.72,30.15,29.18,Kharif,Cotton
34.53,57.74,96.47,7.77,6.46,73.5,25.0,29.91,45.29,24.8,22.03,Whole Year,Mango
26.55,77.12,200.31,10.57,6.72,79.93,19.59,25.75,37.8,36.45,21.87,Kharif,Rice
30.54,44.06,59.4,11.99,6.81,80.01,13.74,21.6,58.52,19.88,17.2,Whole Year,Karbuja(Musk Melon)
28.41,68.7,157.73,9.56,6.65,90.78,17.09,24.87,48.53,26.6,16.88,Whole Year,Papaya
18.66,60.75,109.42,6.51,6.17,44.57,8.46,28.43,45.11,26.46,18.27,Rabi,Beans
26.88,65.01,65.96,9.04,6.86,37.53,13.13,30.27,40.38,29.35,18.42,Kharif,Black Gram Dal(Urd Dal)
36.37,47.83,46.64,12.71,6.32,64.56,15.82,18.83,63.83,17.34,11.46,Whole Year,Water Melon
21.7,59.01,105.58,7.71,6.17,39.98,14.69,23.66,46.57,29.77,17.04,Rabi,Beans
31.75,62.33,151.88,11.55,6.93,61.51,15.74,39.66,28.71,31.63,36.21,Kharif,Cotton
20.49,54.82,86.28,7.17,6.12,42.19,14.58,25.56,44.35,30.09,21.12,Rabi,Beans
31.05,43.33,37.46,13.46,6.61,73.77,15.79,20.03,62.8,17.17,14.28,Whole Year,Karbuja(Musk Melon)
27.43,65.89,92.92,7.86,6.6,24.04,13.39,34.29,38.65,27.06,17.16,Kharif,Black Gram Dal(Urd Dal)
30.61,49.31,62.03,9.89,6.55,66.38,11.0,15.94,60.75,23.31,14.17,Whole Year,Karbuja(Musk Melon)
25.63,51.51,50.05,6.96,6.95,60.56,18.93,28.54,47.86,23.6,17.47,Whole Year,Grapes
25.47,56.27,126.35,7.97,6.3,72.68,20.63,29.03,43.31,27.66,22.89,Whole Year,Mango
29.94,57.93,69.32,10.46,6.88,62.54,25.0,31.65,42.33,26.02,23.96,Whole Year,Pomegranate
27.76,60.01,133.63,8.65,7.12,49.23,14.25,41.48,28.27,30.25,32.19,Kharif,Cotton
21.04,59.69,115.23,8.38,6.42,39.33,17.05,19.23,48.63,32.14,15.35,Rabi,Beans
23.42,57.36,72.97,8.73,7.07,63.59,25.0,30.94,41.24,27.82,17.7,Whole Year,Pomegranate
29.96,70.93,137.86,6.65,6.61,91.07,24.97,23.88,44.4,31.72,22.89,Whole Year,Papaya
29.42,80.46,213.03,6.49,6.64,73.88,25.0,29.8,35.17,35.03,25.2,Whole Year,Banana
32.19,46.35,67.06,9.66,6.39,82.29,12.43,21.43,59.61,18.96,13.25,Whole Year,Water Melon
30.35,50.21,102.62,8.66,6.66,71.19,16.19,28.02,44.85,27.13,21.39,Whole Year,Mango
27.03,64.29,141.79,7.51,7.2,66.01,11.51,32.65,43.32,24.03,24.22,Kharif,Maize
28.04,48.45,42.49,12.98,6.67,84.32,18.49,15.09,62.52,22.39,16.06,Whole Year,Water Melon
27.42,55.95,97.66,11.37,6.87,61.8,25.0,34.14,39.92,25.94,20.69,Whole Year,Pomegranate
24.49,53.88,88.88,8.3,6.46,69.14,25.0,34.05,43.21,22.74,22.38,Kharif,Maize
22.85,71.36,113.59,6.61,6.55,73.25,15.92,29.56,44.01,26.43,16.62,Whole Year,Orange
26.64,61.47,114.81,8.95,6.48,78.19,22.03,34.14,41.21,24.65,18.3,Kharif,Maize
28.04,60.19,121.17,10.03,6.45,69.17,22.24,34.55,44.86,20.59,17.5,Kharif,Maize
27.65,58.03,144.41,10.15,7.08,69.66,14.99,40.69,27.73,31.58,29.29,Kharif,Cotton
28.96,75.53,146.23,9.97,6.5,66.16,25.0,26.79,45.31,27.9,22.05,Whole Year,Papaya
25.73,56.93,155.98,9.69,6.88,67.26,13.87,42.29,28.62,29.09,35.43,Kharif,Cotton
34.28,54.2,93.15,11.5,6.22,66.33,22.7,32.21,43.26,24.53,20.89,Whole Year,Mango
28.55,62.21,120.99,11.65,6.16,71.24,20.76,27.55,48.86,23.59,23.09,Whole Year,Mango
25.77,57.18,102.53,8.08,7.09,63.6,22.87,33.12,40.05,26.83,26.98,Whole Year,Pomegranate
18.19,64.47,96.66,7.59,5.9,41.2,17.38,23.9,46.83,29.27,16.28,Rabi,Beans
28.55,59.12,125.02,8.04,6.68,76.88,14.73,33.17,39.99,26.84,19.37,Kharif,Maize
31.54,67.96,137.86,7.11,6.69,86.92,21.35,30.02,45.3,24.68,19.26,Whole Year,Papaya
31.66,53.12,153.3,11.08,6.37,76.45,25.0,28.99,43.22,27.79,14.2,Whole Year,Mango
27.8,72.39,128.12,11.14,6.64,75.7,24.26,21.31,52.79,25.9,20.41,Whole Year,Papaya
27.02,71.19,197.4,8.25,6.67,85.42,25.0,27.78,37.16,35.06,25.81,Whole Year,Banana
31.99,70.07,134.0,10.59,6.68,69.61,24.22,28.4,47.21,24.39,20.12,Whole Year,Papaya
28.39,77.43,151.08,10.64,6.79,93.19,24.5,25.35,33.77,40.88,21.31,Kharif,Rice
29.59,53.09,49.32,10.45,6.9,63.28,11.48,21.92,60.12,17.96,13.44,Whole Year,Water Melon
26.37,52.76,66.24,12.18,6.86,60.57,17.21,23.75,50.3,25.95,18.45,Whole Year,Grapes
29.19,62.84,125.61,8.13,6.62,50.01,25.0,31.48,45.63,22.89,20.79,Whole Year,Mango
28.9,71.94,137.41,10.12,6.98,56.58,9.01,40.46,28.91,30.63,32.73,Kharif,Cotton
28.0,67.14,65.42,7.5,7.1,34.44,11.26,30.98,44.17,24.85,17.5,Kharif,Black Gram Dal(Urd Dal)
26.79,54.13,72.38,12.0,6.4,55.47,19.37,24.35,49.42,26.23,17.04,Whole Year,Grapes
30.49,73.51,140.87,7.48,6.53,79.37,19.46,24.97,49.01,26.02,18.91,Whole Year,Papaya
29.09,68.15,125.04,9.51,6.4,73.19,22.3,30.16,46.23,23.61,19.23,Whole Year,Papaya
30.2,77.18,141.95,7.46,6.99,69.63,20.64,24.72,50.77,24.51,22.45,Whole Year,Papaya
28.73,67.48,138.01,9.7,6.52,64.57,14.69,38.31,31.64,30.05,32.38,Kharif,Cotton
27.33,59.8,71.14,12.62,7.01,60.57,24.63,29.0,41.39,29.61,23.89,Whole Year,Pomegranate
23.24,53.09,66.57,9.89,6.88,49.03,13.91,21.2,49.06,29.74,19.34,Whole Year,Grapes
29.29,63.2,74.29,8.79,6.39,31.51,17.79,31.63,44.4,23.97,18.54,Kharif,Black Gram Dal(Urd Dal)
29.95,45.84,55.34,11.4,6.3,52.75,15.29,20.36,63.43,16.21,12.17,Whole Year,Karbuja(Musk Melon)
30.43,51.31,111.97,7.91,6.32,69.91,18.36,31.26,42.42,26.32,18.6,Whole Year,Mango
27.61,58.61,105.23,6.45,6.35,66.83,20.54,30.37,47.5,22.13,17.64,Whole Year,Mango
25.67,57.51,61.31,7.92,6.94,28.07,13.01,33.37,42.76,23.87,17.49,Kharif,Black Gram Dal(Urd Dal)
26.21,71.99,168.82,13.45,6.82,90.08,13.64,27.53,35.78,36.69,21.46,Kharif,Rice
27.16,60.45,92.61,12.23,7.33,72.35,23.7,36.18,40.93,22.89,21.44,Whole Year,Pomegranate
33.61,50.8,47.8,8.73,6.3,59.13,11.47,19.42,59.13,21.45,15.82,Whole Year,Karbuja(Musk Melon)
25.66,62.07,71.88,7.58,7.01,32.59,17.47,28.04,43.65,28.31,19.56,Kharif,Black Gram Dal(Urd Dal)
29.71,47.9,65.3,9.96,6.69,80.29,17.75,19.61,59.31,21.08,13.88,Whole Year,Water Melon
26.88,77.3,162.52,11.32,6.94,104.76,25.0,30.95,40.18,28.87,25.78,Whole Year,Banana
30.13,50.08,56.71,12.9,6.44,73.1,17.78,12.65,64.32,23.03,14.79,Whole Year,Water Melon
27.2,82.13,169.4,10.06,6.54,77.56,25.0,28.93,38.72,32.35,25.32,Whole Year,Banana
28.46,61.31,63.62,11.35,7.23,72.97,25.0,31.47,39.47,29.06,27.79,Whole Year,Pomegranate
30.05,48.62,49.58,10.73,6.51,80.21,17.34,14.38,64.27,21.35,9.94,Whole Year,Water Melon
22.43,62.33,83.56,10.71,6.75,29.35,8.93,25.83,42.01,32.16,17.01,Kharif,Black Gram Dal(Urd Dal)
30.92,46.31,68.73,11.08,6.59,69.83,14.02,18.33,62.28,19.39,13.31,Whole Year,Karbuja(Musk Melon)
28.29,60.7,174.31,7.92,7.0,63.18,15.01,38.75,31.78,29.47,32.95,Kharif,Cotton
29.53,54.71,83.22,10.65,7.06,67.04,24.19,31.64,41.49,26.87,21.29,Whole Year,Pomegranate
28.39,59.13,145.65,9.96,7.08,55.84,15.76,39.06,28.25,32.69,37.87,Kharif,Cotton
27.9,71.83,171.31,8.14,6.62,81.67,22.4,26.86,39.26,33.88,24.54,Whole Year,Banana
27.08,69.42,151.82,8.9,6.96,86.28,25.0,28.78,33.0,38.22,21.18,Whole Year,Banana
26.13,63.73,109.3,10.57,6.7,72.65,16.6,33.03,38.74,28.23,19.26,Kharif,Maize
26.86,56.33,131.8,10.43,7.4,65.44,11.52,37.17,29.73,33.1,33.5,Kharif,Cotton
33.89,43.16,47.31,10.52,6.36,61.18,11.95,18.37,61.98,19.65,12.01,Whole Year,Karbuja(Musk Melon)
27.51,52.67,87.75,11.22,7.03,83.91,25.0,32.92,42.02,25.06,25.54,Whole Year,Pomegranate
28.8,69.63,188.03,10.28,6.36,85.1,25.0,27.24,34.53,38.23,25.97,Whole Year,Banana
26.05,65.77,142.98,9.32,7.18,64.03,12.93,41.13,26.01,32.86,32.48,Kharif,Cotton
29.12,74.37,137.2,5.98,6.4,88.93,16.61,28.63,45.06,26.31,24.31,Whole Year,Papaya
26.03,57.35,138.82,9.96,6.65,80.92,17.52,36.6,44.23,19.17,22.14,Kharif,Maize
27.52,51.9,68.13,8.91,6.82,52.03,16.46,21.8,50.0,28.2,22.09,Whole Year,Grapes
33.64,43.9,42.02,10.55,6.37,65.98,17.57,13.75,64.96,21.29,12.18,Whole Year,Karbuja(Musk Melon)
24.77,62.22,153.44,7.67,6.75,71.54,13.79,34.5,31.31,34.19,34.89,Kharif,Cotton
27.64,55.3,137.03,9.48,7.05,72.17,13.28,36.65,30.22,33.13,35.97,Kharif,Cotton
27.21,61.55,82.3,11.47,7.38,56.51,25.0,32.27,40.75,26.98,24.55,Whole Year,Pomegranate
27.71,63.28,64.54,7.79,6.72,30.92,13.54,32.02,40.07,27.91,20.91,Kharif,Black Gram Dal(Urd Dal)
34.08,57.58,142.35,8.41,6.27,65.21,22.75,30.52,47.29,22.19,20.47,Whole Year,Mango
23.73,61.9,90.81,10.12,6.54,78.47,16.48,29.91,42.66,27.43,18.54,Whole Year,Orange
23.05,53.13,98.67,7.87,6.09,42.38,20.23,25.03,45.78,29.19,14.64,Rabi,Beans
26.3,66.46,72.33,7.74,6.52,36.58,12.76,29.72,44.61,25.67,18.87,Kharif,Black Gram Dal(Urd Dal)
33.07,48.37,44.09,10.81,6.52,60.43,8.64,17.91,63.38,18.71,12.6,Whole Year,Karbuja(Musk Melon)
30.54,44.37,57.0,11.58,6.74,70.6,13.89,18.08,64.48,17.44,12.8,Whole Year,Karbuja(Musk Melon)
26.04,66.74,133.45,8.27,6.55,82.85,21.56,26.85,47.71,25.44,18.38,Whole Year,Papaya
31.31,69.67,59.38,7.88,6.55,30.71,7.72,24.38,47.56,28.06,15.85,Kharif,Black Gram Dal(Urd Dal)
22.81,49.28,81.57,8.26,6.38,39.31,11.91,26.81,43.25,29.94,17.27,Rabi,Beans
24.09,62.88,101.43,10.27,6.72,68.51,22.99,25.42,47.4,27.18,16.1,Whole Year,Orange
28.12,62.02,115.93,6.98,6.52,83.03,14.09,35.88,41.42,22.7,21.84,Kharif,Maize
28.88,78.06,172.86,7.63,6.5,87.08,21.35,30.21,35.95,33.84,20.96,Kharif,Rice
29.35,71.28,129.73,9.04,6.64,82.81,25.0,26.58,45.31,28.11,21.93,Whole Year,Papaya
25.91,55.59,66.22,11.07,7.0,57.01,21.0,29.01,47.56,23.43,15.79,Whole Year,Grapes
32.26,58.01,111.42,7.89,6.4,84.11,18.45,27.91,49.83,22.26,20.45,Whole Year,Mango
28.36,78.09,119.05,11.26,6.68,78.68,24.49,24.68,49.67,25.65,21.48,Whole Year,Papaya
27.38,62.04,128.43,8.57,7.23,61.23,14.89,39.54,29.27,31.19,35.87,Kharif,Cotton
25.82,51.6,100.18,10.23,6.66,53.68,23.69,31.65,44.25,24.1,21.6,Whole Year,Mango
26.16,71.45,167.77,10.9,6.65,89.52,25.0,28.08,39.16,32.76,23.64,Whole Year,Banana
28.03,68.83,176.88,7.6,6.8,84.08,22.3,28.38,34.74,36.88,28.53,Whole Year,Banana
27.84,71.81,150.0,8.14,6.53,85.09,23.99,22.25,49.75,28.0,21.69,Whole Year,Papaya
29.94,71.01,171.69,9.66,6.52,73.04,18.35,31.81,36.12,32.07,21.54,Kharif,Rice
21.21,61.15,81.25,9.36,6.56,69.33,16.24,31.74,44.99,23.27,19.91,Whole Year,Orange
24.46,56.79,114.28,7.13,6.86,59.48,17.84,32.55,45.64,21.81,18.09,Whole Year,Orange
31.01,62.03,78.95,8.73,7.18,26.45,8.35,27.7,40.6,31.7,18.97,Kharif,Black Gram Dal(Urd Dal)
27.91,78.67,161.48,10.46,6.71,88.14,25.0,28.87,36.4,34.73,26.87,Whole Year,Banana
27.44,79.02,161.68,9.97,6.87,98.57,25.0,28.87,36.33,34.8,23.4,Whole Year,Banana
26.5,76.78,174.6,9.79,6.9,84.63,25.0,25.77,34.04,40.19,25.77,Whole Year,Banana
28.2,73.78,136.28,10.23,6.67,74.23,20.63,27.73,43.84,28.43,24.48,Whole Year,Papaya
30.65,51.52,59.05,11.97,6.92,71.98,13.35,16.1,62.48,21.42,11.1,Whole Year,Water Melon
28.21,49.75,129.21,8.93,6.38,79.56,23.45,31.29,43.25,25.46,21.08,Whole Year,Mango
29.72,57.17,93.4,6.26,7.05,61.73,25.0,27.66,39.98,32.36,24.34,Whole Year,Pomegranate
26.46,55.63,134.23,8.17,6.92,68.53,14.01,36.27,32.93,30.8,30.11,Kharif,Cotton
21.64,58.0,64.0,8.07,6.96,56.1,12.85,24.97,52.99,22.04,14.84,Whole Year,Grapes
31.65,45.52,54.9,13.07,6.76,78.26,14.96,17.85,59.48,22.67,15.05,Whole Year,Water Melon
30.83,76.87,144.41,11.79,6.42,68.65,18.52,31.26,32.26,36.48,20.57,Kharif,Rice
20.32,60.95,111.84,8.71,6.61,68.39,22.13,28.32,45.4,26.28,16.12,Whole Year,Orange
31.19,50.78,46.99,12.49,6.58,81.7,13.3,15.73,59.78,24.49,14.16,Whole Year,Water Melon
23.82,70.26,118.15,9.37,6.8,61.85,17.87,28.89,43.37,27.74,20.95,Whole Year,Orange
28.66,81.72,191.57,10.72,6.49,86.99,25.0,33.4,35.67,30.93,21.74,Whole Year,Banana
31.3,65.22,145.1,6.93,6.93,77.6,21.19,31.21,43.05,25.74,23.62,Kharif,Maize
28.11,60.33,150.53,4.75,7.0,63.25,13.43,38.18,30.84,30.98,28.13,Kharif,Cotton
30.04,58.15,47.67,11.59,6.74,78.58,15.13,19.79,59.98,20.23,13.88,Whole Year,Karbuja(Musk Melon)
28.14,62.65,110.07,8.57,6.61,65.39,21.35,27.99,44.97,27.04,20.56,Whole Year,Mango
31.2,55.71,103.47,8.72,6.26,80.12,23.56,28.25,47.67,24.08,15.93,Whole Year,Mango
29.69,73.6,147.95,7.21,6.51,84.26,25.0,24.74,48.6,26.66,18.73,Whole Year,Papaya
26.52,52.58,102.29,9.6,6.56,81.42,20.95,27.9,45.91,26.19,18.62,Whole Year,Mango
26.75,63.11,112.02,7.29,6.79,58.08,18.13,31.78,44.84,23.38,21.95,Whole Year,Orange
29.37,61.98,114.02,9.19,6.94,85.8,21.38,33.72,38.07,28.21,20.67,Whole Year,Pomegranate
34.04,44.23,51.76,14.67,6.36,74.72,12.4,18.2,61.28,20.52,12.86,Whole Year,Water Melon
25.91,62.2,78.39,9.62,6.87,59.68,25.0,25.9,44.28,29.82,24.56,Whole Year,Pomegranate
28.48,59.37,123.01,8.59,6.76,63.45,23.08,39.91,40.18,19.91,23.34,Kharif,Maize
27.52,79.49,178.53,8.41,6.51,68.46,21.32,24.98,34.3,40.72,18.98,Kharif,Rice
29.61,65.1,115.58,8.05,6.68,76.18,18.82,35.76,41.22,23.02,21.55,Kharif,Maize
28.3,62.76,122.65,8.29,6.49,67.32,19.8,27.08,47.87,25.05,20.83,Whole Year,Mango
21.67,52.49,118.37,7.88,5.99,41.83,16.52,28.33,44.08,27.59,17.08,Rabi,Beans
28.3,66.23,96.26,8.91,6.49,78.45,20.58,36.62,46.04,17.34,25.36,Kharif,Maize
24.95,51.79,45.6,8.61,7.19,62.55,9.23,23.59,50.83,25.58,18.74,Whole Year,Grapes
24.76,56.3,158.43,8.21,7.01,51.24,9.62,37.65,30.22,32.13,33.69,Kharif,Cotton
29.73,51.07,51.42,10.89,6.44,61.28,10.07,17.19,65.38,17.43,12.25,Whole Year,Karbuja(Musk Melon)
28.95,48.46,45.8,10.44,6.65,72.98,14.64,22.19,57.19,20.62,10.88,Whole Year,Karbuja(Musk Melon)
25.79,58.78,74.37,7.9,7.16,40.52,13.25,24.19,45.73,30.08,17.91,Kharif,Black Gram Dal(Urd Dal)
26.66,67.42,94.73,10.62,6.1,83.74,16.92,26.24,45.84,27.92,25.05,Whole Year,Papaya
29.94,55.86,48.04,11.8,6.84,60.99,12.71,19.72,58.82,21.46,12.18,Whole Year,Karbuja(Musk Melon)
31.62,44.76,63.61,9.78,6.57,84.8,13.28,18.41,59.84,21.75,10.89,Whole Year,Karbuja(Musk Melon)
27.93,63.56,141.54,9.31,6.96,59.74,9.83,37.82,28.97,33.21,29.67,Kharif,Cotton
27.86,67.67,129.51,6.86,6.77,88.96,14.12,33.2,41.59,25.21,16.04,Whole Year,Papaya
26.59,55.64,148.25,10.07,7.07,66.17,12.38,39.68,29.83,30.49,28.16,Kharif,Cotton
22.65,65.96,96.23,9.66,6.85,70.25,16.44,27.76,46.24,26.0,19.52,Whole Year,Orange
28.26,69.12,75.61,8.05,6.66,38.28,8.64,30.8,44.31,24.89,18.3,Kharif,Black Gram Dal(Urd Dal)
29.85,76.97,158.05,7.58,6.77,93.01,24.01,33.11,33.28,33.61,23.13,Kharif,Rice
24.8,58.84,109.7,11.0,7.1,65.94,23.78,30.67,43.71,25.62,17.72,Kharif,Maize
27.6,75.54,168.34,9.54,6.49,83.79,25.0,28.27,37.19,34.54,21.4,Kharif,Rice
23.31,58.63,116.65,6.84,6.11,42.24,15.28,27.05,45.3,27.65,14.73,Rabi,Beans
29.73,63.68,62.73,9.13,6.63,33.02,13.64,30.38,41.27,28.35,17.55,Kharif,Black Gram Dal(Urd Dal)
25.94,63.79,114.36,8.8,6.72,74.95,20.95,31.43,41.77,26.8,17.33,Whole Year,Orange
28.19,74.12,167.35,11.08,6.54,85.52,24.74,26.52,33.44,40.04,21.35,Kharif,Rice
